County,HERC Region
Florence,Northeast
Marinette,Northeast
Oconto,Northeast
Brown,Northeast
Manitowoc,Northeast
Kewaunee,Northeast
Door,Northeast
Iron,North Central
Vilas,North Central
Oneida,North Central
Forest,North Central
Price,North Central
Lincoln,North Central
Langlade,North Central
Taylor,North Central
Marathon,North Central
Clark,North Central
Wood,North Central
Portage,North Central
Douglas,Northwest
Bayfield,Northwest
Ashland,Northwest
Burnett,Northwest
Washburn,Northwest
Sawyer,Northwest
Polk,Northwest
Barron,Northwest
Rusk,Northwest
Saint Croix,Northwest
Dunn,Northwest
Chippewa,Northwest
Pierce,Northwest
Pepin,Northwest
Eau Claire,Northwest
Menominee,Fox Valley
Shawano,Fox Valley
Outagamie,Fox Valley
Waupaca,Fox Valley
Waushara,Fox Valley
Winnebago,Fox Valley
Calumet,Fox Valley
Green Lake,Fox Valley
Fond du Lac,Southeast
Sheboygan,Southeast
Washington,Southeast
Ozaukee,Southeast
Waukesha,Southeast
Milwaukee,Southeast
Walworth,Southeast
Racine,Southeast
Kenosha,Southeast
Buffalo,Western
Trempealeau,Western
Jackson,Western
La Crosse,Western
Monroe,Western
Vernon,Western
Crawford,Western
Juneau,South Central
Adams,South Central
Marquette,South Central
Richland,South Central
Sauk,South Central
Columbia,South Central
Dodge,South Central
Grant,South Central
Iowa,South Central
Dane,South Central
Jefferson,South Central
Lafayette,South Central
Green,South Central
Rock,South Central
